price.open,price.high,price.low,price.close,volume,price.adjusted,ret.adjusted.prices,ret.closing.prices,avgChange,Change
81.889999,82.339996,81.220001,81.459999,1526000,80.723946,-0.0030596,-0.003059601,-1.425719284,D
81.800003,82.440002,80.190002,80.309998,2531600,79.584343,-0.014117286,-0.014117371,-0.580975017,D
79.540001,79.610001,76.059998,76.279999,5743700,75.590752,-0.050180612,-0.050180539,0.789542592,U
76.080002,77.389999,75.970001,76.739998,2631900,76.422295,0.011000592,0.006030401,0.990708092,U
76.019997,76.089996,74.830002,75.889999,4132700,75.575821,-0.01107627,-0.011076349,1.493594469,U
76.120003,78.5,76.050003,78.059998,4202000,77.736832,0.028593947,0.028594005,1.091360843,U
78.110001,79.389999,78.110001,79.330002,2968600,79.001579,0.016269598,0.016269588,0.777022719,U
79.980003,81.339996,79.610001,80.610001,2928600,80.276276,0.016135083,0.016135119,0.414977545,E
80.879997,82.18,80.529999,81.800003,3755200,81.461357,0.014762531,0.014762461,0.021900034,E
82.110001,82.910004,81.970001,82.449997,2231600,82.108658,0.007946111,0.007946137,0.019433527,E
